creator,editor,puzzle_id,publication_date
Joel Fagliano,,9579,2014-11-22
Joel Fagliano,,9582,2014-11-23
Joel Fagliano,,9577,2014-11-24
Joel Fagliano,,9590,2014-11-25
Joel Fagliano,,9580,2014-11-26
Joel Fagliano,,9581,2014-11-27
Joel Fagliano,,9593,2014-11-28
Joel Fagliano,,9592,2014-11-29
Joel Fagliano,,9594,2014-11-30
Joel Fagliano,,9591,2014-12-01
Joel Fagliano,,9604,2014-12-02
Joel Fagliano,,9606,2014-12-03
Joel Fagliano,,9605,2014-12-04
Joel Fagliano,,9608,2014-12-05
Joel Fagliano,,9610,2014-12-06
Joel Fagliano,,9609,2014-12-07
Joel Fagliano,,9607,2014-12-08
Joel Fagliano,,9611,2014-12-09
Joel Fagliano,,9621,2014-12-10
Joel Fagliano,,9624,2014-12-11
Joel Fagliano,,9623,2014-12-12
Joel Fagliano,,9620,2014-12-13
Joel Fagliano,,9622,2014-12-14
Joel Fagliano,,9634,2014-12-15
Joel Fagliano,,9633,2014-12-16
Joel Fagliano,,9635,2014-12-17
Joel Fagliano,,9636,2014-12-18
Joel Fagliano,,9637,2014-12-19
Joel Fagliano,,9638,2014-12-20
Joel Fagliano,,9647,2014-12-21
Joel Fagliano,,9648,2014-12-22
Joel Fagliano,,9649,2014-12-23
Joel Fagliano,,9650,2014-12-24
Joel Fagliano,,9651,2014-12-25
Joel Fagliano,,9660,2014-12-26
Joel Fagliano,,9659,2014-12-27
Joel Fagliano,,9662,2014-12-28
Joel Fagliano,,9664,2014-12-29
Joel Fagliano,,9666,2014-12-30
Joel Fagliano,,9665,2014-12-31
Joel Fagliano,,9663,2015-01-01
Joel Fagliano,,9670,2015-01-02
Joel Fagliano,,9669,2015-01-03
Joel Fagliano,,9668,2015-01-04
Joel Fagliano,,9667,2015-01-05
Joel Fagliano,,9683,2015-01-06
Joel Fagliano,,9682,2015-01-07
Joel Fagliano,,9680,2015-01-08
Joel Fagliano,,9681,2015-01-09
Joel Fagliano,,9679,2015-01-10
Joel Fagliano,,9686,2015-01-11
Joel Fagliano,,9698,2015-01-12
Joel Fagliano,,9699,2015-01-13
Joel Fagliano,,9694,2015-01-14
Joel Fagliano,,9695,2015-01-15
Joel Fagliano,,9696,2015-01-16
Joel Fagliano,,9697,2015-01-17
Joel Fagliano,,9700,2015-01-18
Joel Fagliano,,9701,2015-01-19
Joel Fagliano,,9702,2015-01-20
Joel Fagliano,,9703,2015-01-21
Joel Fagliano,,9711,2015-01-22
Joel Fagliano,,9712,2015-01-23
Joel Fagliano,,9713,2015-01-24
Joel Fagliano,,9720,2015-01-25
Joel Fagliano,,9717,2015-01-26
Joel Fagliano,,9718,2015-01-27
Joel Fagliano,,9716,2015-01-28
Joel Fagliano,,9719,2015-01-29
Joel Fagliano,,9722,2015-01-30
Joel Fagliano,,9723,2015-01-31
Joel Fagliano,,9721,2015-02-01
Joel Fagliano,,9733,2015-02-02
Joel Fagliano,,9734,2015-02-03
Joel Fagliano,,9735,2015-02-04
Joel Fagliano,,9738,2015-02-05
Joel Fagliano,,9740,2015-02-06
Joel Fagliano,,9739,2015-02-07
Joel Fagliano,,9741,2015-02-08
Joel Fagliano,,9742,2015-02-09
Joel Fagliano,,9743,2015-02-10
Joel Fagliano,,9766,2015-02-11
Joel Fagliano,,9767,2015-02-12
Joel Fagliano,,9769,2015-02-13
Joel Fagliano,,9770,2015-02-14
Joel Fagliano,,9771,2015-02-15
Joel Fagliano,,9772,2015-02-16
Joel Fagliano,,9783,2015-02-17
Joel Fagliano,,9781,2015-02-18
Joel Fagliano,,9782,2015-02-19
Joel Fagliano,,9784,2015-02-20
Joel Fagliano,,9785,2015-02-21
Joel Fagliano,,9787,2015-02-22
Joel Fagliano,,9788,2015-02-23
Joel Fagliano,,9803,2015-02-24
Joel Fagliano,,9802,2015-02-25
Joel Fagliano,,9798,2015-02-26
Joel Fagliano,,9801,2015-02-27
Joel Fagliano,,9804,2015-02-28
Joel Fagliano,,9800,2015-03-01
Joel Fagliano,,9799,2015-03-02
Joel Fagliano,,9815,2015-03-03
Joel Fagliano,,9817,2015-03-04
Joel Fagliano,,9816,2015-03-05
Joel Fagliano,,9820,2015-03-06
Joel Fagliano,,9819,2015-03-07
Joel Fagliano,,9830,2015-03-08
Joel Fagliano,,9829,2015-03-09
Joel Fagliano,,9828,2015-03-10
Joel Fagliano,,9835,2015-03-11
Joel Fagliano,,9833,2015-03-12
Joel Fagliano,,9836,2015-03-13
Joel Fagliano,,9837,2015-03-14
Joel Fagliano,,9847,2015-03-15
Joel Fagliano,,9848,2015-03-16
Joel Fagliano,,9846,2015-03-17
Joel Fagliano,,9849,2015-03-18
Joel Fagliano,,9851,2015-03-19
Joel Fagliano,,9852,2015-03-20
Joel Fagliano,,9853,2015-03-21
Joel Fagliano,,9857,2015-03-22
Joel Fagliano,,9858,2015-03-23
Joel Fagliano,,9859,2015-03-24
Joel Fagliano,,9860,2015-03-25
Joel Fagliano,,9868,2015-03-26
Joel Fagliano,,9869,2015-03-27
Joel Fagliano,,9870,2015-03-28
Joel Fagliano,,9871,2015-03-29
Joel Fagliano,,9882,2015-03-30
Joel Fagliano,,9881,2015-03-31
Joel Fagliano,,9883,2015-04-01
Joel Fagliano,,9884,2015-04-02
Joel Fagliano,,9886,2015-04-03
Joel Fagliano,,9888,2015-04-04
Joel Fagliano,,9885,2015-04-05
Joel Fagliano,,9889,2015-04-06
Joel Fagliano,,9890,2015-04-07
Joel Fagliano,,9902,2015-04-08
Joel Fagliano,,9900,2015-04-09
Joel Fagliano,,9901,2015-04-10
Joel Fagliano,,9903,2015-04-11
Joel Fagliano,,9904,2015-04-12
Joel Fagliano,,9905,2015-04-13
Joel Fagliano,,9916,2015-04-14
Joel Fagliano,,9917,2015-04-15
Joel Fagliano,,9918,2015-04-16
Joel Fagliano,,9919,2015-04-17
Joel Fagliano,,9922,2015-04-18
Joel Fagliano,,9924,2015-04-19
Joel Fagliano,,9923,2015-04-20
Joel Fagliano,,9938,2015-04-21
Joel Fagliano,,9936,2015-04-22
Joel Fagliano,,9939,2015-04-23
Joel Fagliano,,9937,2015-04-24
Joel Fagliano,,9935,2015-04-25
Joel Fagliano,,9933,2015-04-26
Joel Fagliano,,9934,2015-04-27
Joel Fagliano,,9952,2015-04-28
Joel Fagliano,,9953,2015-04-29
Joel Fagliano,,9951,2015-04-30
Joel Fagliano,,9956,2015-05-01
Joel Fagliano,,9954,2015-05-02
Joel Fagliano,,9955,2015-05-03
Joel Fagliano,,9971,2015-05-04
Joel Fagliano,,9972,2015-05-05
Joel Fagliano,,9973,2015-05-06
Joel Fagliano,,9974,2015-05-07
Joel Fagliano,,9977,2015-05-08
Joel Fagliano,,9976,2015-05-09
Joel Fagliano,,9978,2015-05-10
Joel Fagliano,,9988,2015-05-11
Joel Fagliano,,9989,2015-05-12
Joel Fagliano,,9990,2015-05-13
Joel Fagliano,,9991,2015-05-14
Joel Fagliano,,9992,2015-05-15
Joel Fagliano,,9993,2015-05-16
Joel Fagliano,,10005,2015-05-17
Joel Fagliano,,10008,2015-05-18
Joel Fagliano,,10007,2015-05-19
Joel Fagliano,,10006,2015-05-20
Joel Fagliano,,10009,2015-05-21
Joel Fagliano,,10014,2015-05-22
Joel Fagliano,,10012,2015-05-23
Joel Fagliano,,10013,2015-05-24
Joel Fagliano,,10011,2015-05-25
Joel Fagliano,,10010,2015-05-26
Joel Fagliano,,10034,2015-05-27
Joel Fagliano,,10026,2015-05-28
Joel Fagliano,,10027,2015-05-29
Joel Fagliano,,10028,2015-05-30
Joel Fagliano,,10029,2015-05-31
Joel Fagliano,,10042,2015-06-01
Joel Fagliano,,10043,2015-06-02
Joel Fagliano,,10048,2015-06-03
Joel Fagliano,,10045,2015-06-04
Joel Fagliano,,10046,2015-06-05
Joel Fagliano,,10047,2015-06-06
Joel Fagliano,,10067,2015-06-07
Joel Fagliano,,10066,2015-06-08
Joel Fagliano,,10070,2015-06-09
Joel Fagliano,,10069,2015-06-10
Joel Fagliano,,10068,2015-06-11
Joel Fagliano,,10065,2015-06-12
Joel Fagliano,,10081,2015-06-13
Joel Fagliano,,10082,2015-06-14
Joel Fagliano,,10086,2015-06-15
Joel Fagliano,,10085,2015-06-16
Joel Fagliano,,10083,2015-06-17
Joel Fagliano,,10084,2015-06-18
Joel Fagliano,,10087,2015-06-19
Joel Fagliano,,10090,2015-06-20
Joel Fagliano,,10092,2015-06-21
Joel Fagliano,,10091,2015-06-22
Joel Fagliano,,10094,2015-06-23
Joel Fagliano,,10093,2015-06-24
Joel Fagliano,,10095,2015-06-25
Joel Fagliano,,10096,2015-06-26
Joel Fagliano,,10097,2015-06-27
Joel Fagliano,,10098,2015-06-28
Joel Fagliano,,10115,2015-06-29
Joel Fagliano,,10116,2015-06-30
Joel Fagliano,,10117,2015-07-01
Joel Fagliano,,10118,2015-07-02
Joel Fagliano,,10120,2015-07-03
Joel Fagliano,,10119,2015-07-04
Joel Fagliano,,10134,2015-07-05
Joel Fagliano,,10135,2015-07-06
Joel Fagliano,,10136,2015-07-07
Joel Fagliano,,10137,2015-07-08
Joel Fagliano,,10140,2015-07-09
Joel Fagliano,,10142,2015-07-10
Joel Fagliano,,10143,2015-07-11
Joel Fagliano,,10144,2015-07-12
Joel Fagliano,,10145,2015-07-13
Joel Fagliano,,10146,2015-07-14
Joel Fagliano,,10147,2015-07-15
Joel Fagliano,,10149,2015-07-16
Joel Fagliano,,10148,2015-07-17
Joel Fagliano,,10150,2015-07-18
Joel Fagliano,,10168,2015-07-19
Joel Fagliano,,10167,2015-07-20
Joel Fagliano,,10169,2015-07-21
Joel Fagliano,,10170,2015-07-22
Joel Fagliano,,10171,2015-07-23
Joel Fagliano,,10172,2015-07-24
Joel Fagliano,,10173,2015-07-25
Joel Fagliano,,10177,2015-07-26
Joel Fagliano,,10178,2015-07-27
Joel Fagliano,,10179,2015-07-28
Joel Fagliano,,10180,2015-07-29
Joel Fagliano,,10181,2015-07-30
Joel Fagliano,,10182,2015-07-31
Joel Fagliano,,10185,2015-08-01
Joel Fagliano,,10195,2015-08-02
Joel Fagliano,,10197,2015-08-03
Joel Fagliano,,10201,2015-08-04
Joel Fagliano,,10202,2015-08-05
Joel Fagliano,,10203,2015-08-06
Joel Fagliano,,10198,2015-08-07
Joel Fagliano,,10199,2015-08-08
Joel Fagliano,,10204,2015-08-09
Joel Fagliano,,10205,2015-08-10
Joel Fagliano,,10206,2015-08-11
Joel Fagliano,,10216,2015-08-12
Joel Fagliano,,10217,2015-08-13
Joel Fagliano,,10218,2015-08-14
Joel Fagliano,,10219,2015-08-15
Joel Fagliano,,10226,2015-08-16
Joel Fagliano,,10234,2015-08-17
Joel Fagliano,,10235,2015-08-18
Joel Fagliano,,10243,2015-08-19
Joel Fagliano,,10238,2015-08-20
Joel Fagliano,,10244,2015-08-21
Joel Fagliano,,10287,2015-08-22
Joel Fagliano,,10291,2015-08-23
Joel Fagliano,,10306,2015-08-24
Joel Fagliano,,10307,2015-08-25
Joel Fagliano,,10308,2015-08-26
Joel Fagliano,,10310,2015-08-27
Joel Fagliano,,10309,2015-08-28
Joel Fagliano,,10311,2015-08-29
Joel Fagliano,,10314,2015-08-30
Joel Fagliano,,10315,2015-08-31
Joel Fagliano,,10317,2015-09-01
Joel Fagliano,,10318,2015-09-02
Joel Fagliano,,10319,2015-09-03
Joel Fagliano,,10321,2015-09-04
Joel Fagliano,,10322,2015-09-05
Joel Fagliano,,10332,2015-09-06
Joel Fagliano,,10333,2015-09-07
Joel Fagliano,,10334,2015-09-08
Joel Fagliano,,10335,2015-09-09
Joel Fagliano,,10337,2015-09-10
Joel Fagliano,,10336,2015-09-11
Joel Fagliano,,10354,2015-09-12
Joel Fagliano,,10355,2015-09-13
Joel Fagliano,,10356,2015-09-14
Joel Fagliano,,10357,2015-09-15
Joel Fagliano,,10359,2015-09-16
Joel Fagliano,,10360,2015-09-17
Joel Fagliano,,10362,2015-09-18
Joel Fagliano,,10363,2015-09-19
Joel Fagliano,,10365,2015-09-20
Joel Fagliano,,10366,2015-09-21
Joel Fagliano,,10367,2015-09-22
Joel Fagliano,,10368,2015-09-23
Joel Fagliano,,10369,2015-09-24
Joel Fagliano,,10370,2015-09-25
Joel Fagliano,,10371,2015-09-26
Joel Fagliano,,10375,2015-09-27
Joel Fagliano,,10390,2015-09-28
Joel Fagliano,,10391,2015-09-29
Joel Fagliano,,10392,2015-09-30
Joel Fagliano,,10395,2015-10-01
Joel Fagliano,,10393,2015-10-02
Joel Fagliano,,10394,2015-10-03
Joel Fagliano,,10397,2015-10-04
Joel Fagliano,,10399,2015-10-05
Joel Fagliano,,10401,2015-10-06
Joel Fagliano,,10402,2015-10-07
Joel Fagliano,,10400,2015-10-08
Joel Fagliano,,10440,2015-10-09
Joel Fagliano,,10441,2015-10-10
Joel Fagliano,,10442,2015-10-11
Joel Fagliano,,10443,2015-10-12
Joel Fagliano,,10446,2015-10-13
Joel Fagliano,,10447,2015-10-14
Joel Fagliano,,10448,2015-10-15
Joel Fagliano,,10450,2015-10-16
Joel Fagliano,,10451,2015-10-17
Joel Fagliano,,10455,2015-10-18
Joel Fagliano,,10464,2015-10-19
Joel Fagliano,,10465,2015-10-20
Joel Fagliano,,10466,2015-10-21
Joel Fagliano,,10467,2015-10-22
Joel Fagliano,,10469,2015-10-23
Joel Fagliano,,10468,2015-10-24
Joel Fagliano,,10470,2015-10-25
Joel Fagliano,,10471,2015-10-26
Joel Fagliano,,10472,2015-10-27
Joel Fagliano,,10482,2015-10-28
Joel Fagliano,,10483,2015-10-29
Joel Fagliano,,10484,2015-10-30
Joel Fagliano,,10485,2015-10-31
Joel Fagliano,,10496,2015-11-01
Joel Fagliano,,10497,2015-11-02
Joel Fagliano,,10498,2015-11-03
Joel Fagliano,,10499,2015-11-04
Joel Fagliano,,10501,2015-11-05
Joel Fagliano,,10511,2015-11-06
Joel Fagliano,,10512,2015-11-07
Joel Fagliano,,10513,2015-11-08
Joel Fagliano,,10514,2015-11-09
Joel Fagliano,,10515,2015-11-10
Joel Fagliano,,10516,2015-11-11
Joel Fagliano,,10517,2015-11-12
Joel Fagliano,,10518,2015-11-13
Joel Fagliano,,10519,2015-11-14
Joel Fagliano,,10522,2015-11-15
Joel Fagliano,,10523,2015-11-16
Joel Fagliano,,10531,2015-11-17
Joel Fagliano,,10532,2015-11-18
Joel Fagliano,,10539,2015-11-19
Joel Fagliano,,10541,2015-11-20
Joel Fagliano,,10548,2015-11-21
Joel Fagliano,,10552,2015-11-22
Joel Fagliano,,10555,2015-11-23
Joel Fagliano,,10561,2015-11-24
Joel Fagliano,,10562,2015-11-25
Joel Fagliano,,10563,2015-11-26
Joel Fagliano,,10573,2015-11-27
Joel Fagliano,,10574,2015-11-28
Joel Fagliano,,10575,2015-11-29
Joel Fagliano,,10576,2015-11-30
Joel Fagliano,,10577,2015-12-01
Joel Fagliano,,10578,2015-12-02
Joel Fagliano,,10580,2015-12-03
Joel Fagliano,,10579,2015-12-04
Joel Fagliano,,10583,2015-12-05
Joel Fagliano,,10584,2015-12-06
Joel Fagliano,,10592,2015-12-07
Joel Fagliano,,10593,2015-12-08
Joel Fagliano,,10594,2015-12-09
Joel Fagliano,,10595,2015-12-10
Joel Fagliano,,10663,2015-12-11
Joel Fagliano,,10664,2015-12-12
Joel Fagliano,,10674,2015-12-13
Joel Fagliano,,10675,2015-12-14
Joel Fagliano,,10676,2015-12-15
Joel Fagliano,,10677,2015-12-16
Joel Fagliano,,10678,2015-12-17
Joel Fagliano,,10679,2015-12-18
Joel Fagliano,,10692,2015-12-19
Joel Fagliano,,10690,2015-12-20
Joel Fagliano,,10691,2015-12-21
Joel Fagliano,,10680,2015-12-22
Joel Fagliano,,10693,2015-12-23
Joel Fagliano,,10695,2015-12-24
Joel Fagliano,,10694,2015-12-25
Joel Fagliano,,10740,2015-12-26
Joel Fagliano,,10748,2015-12-27
Joel Fagliano,,10749,2015-12-28
Joel Fagliano,,10750,2015-12-29
Joel Fagliano,,10752,2015-12-30
Joel Fagliano,,10751,2015-12-31
Joel Fagliano,,10754,2016-01-01
Joel Fagliano,,10755,2016-01-02
Joel Fagliano,,10753,2016-01-03
Joel Fagliano,,10756,2016-01-04
Joel Fagliano,,10774,2016-01-05
Joel Fagliano,,10775,2016-01-06
Joel Fagliano,,10777,2016-01-07
Joel Fagliano,,10776,2016-01-08
Joel Fagliano,,10778,2016-01-09
Joel Fagliano,,10779,2016-01-10
Joel Fagliano,,10789,2016-01-11
Joel Fagliano,,10790,2016-01-12
Joel Fagliano,,10791,2016-01-13
Joel Fagliano,,10792,2016-01-14
Joel Fagliano,,10796,2016-01-15
Joel Fagliano,,10805,2016-01-16
Joel Fagliano,,10806,2016-01-17
Joel Fagliano,,10804,2016-01-18
Joel Fagliano,,10807,2016-01-19
Joel Fagliano,,10808,2016-01-20
Joel Fagliano,,10809,2016-01-21
Joel Fagliano,,10831,2016-01-22
Joel Fagliano,,10832,2016-01-23
Joel Fagliano,,10841,2016-01-24
Joel Fagliano,,10845,2016-01-25
Joel Fagliano,,10844,2016-01-26
Joel Fagliano,,10851,2016-01-27
Joel Fagliano,,10857,2016-01-28
Joel Fagliano,,10928,2016-01-29
Joel Fagliano,,10927,2016-01-30
Joel Fagliano,,10929,2016-01-31
Joel Fagliano,,10930,2016-02-01
Joel Fagliano,,10931,2016-02-02
Joel Fagliano,,10933,2016-02-03
Joel Fagliano,,10934,2016-02-04
Joel Fagliano,,10943,2016-02-05
Joel Fagliano,,10953,2016-02-06
Joel Fagliano,,10955,2016-02-07
Joel Fagliano,,10956,2016-02-08
Joel Fagliano,,10967,2016-02-09
Joel Fagliano,,10977,2016-02-10
Joel Fagliano,,10979,2016-02-11
Joel Fagliano,,10982,2016-02-12
Joel Fagliano,,10992,2016-02-13
Joel Fagliano,,10993,2016-02-14
Joel Fagliano,,10994,2016-02-15
Joel Fagliano,,10995,2016-02-16
Joel Fagliano,,10996,2016-02-17
Joel Fagliano,,10997,2016-02-18
Joel Fagliano,,10998,2016-02-19
Joel Fagliano,,10999,2016-02-20
Joel Fagliano,,11000,2016-02-21
Joel Fagliano,,11001,2016-02-22
Joel Fagliano,,11011,2016-02-23
Joel Fagliano,,11014,2016-02-24
Joel Fagliano,,11012,2016-02-25
Joel Fagliano,,11013,2016-02-26
Joel Fagliano,,11019,2016-02-27
Joel Fagliano,,11021,2016-02-28
Joel Fagliano,,11020,2016-02-29
Joel Fagliano,,11036,2016-03-01
Joel Fagliano,,11037,2016-03-02
Joel Fagliano,,11038,2016-03-03
Joel Fagliano,,11039,2016-03-04
Joel Fagliano,,11040,2016-03-05
Joel Fagliano,,11045,2016-03-06
Joel Fagliano,,11044,2016-03-07
Joel Fagliano,,11046,2016-03-08
Joel Fagliano,,11047,2016-03-09
Joel Fagliano,,11055,2016-03-10
Joel Fagliano,,11056,2016-03-11
Joel Fagliano,,11058,2016-03-12
Joel Fagliano,,11060,2016-03-13
Joel Fagliano,,11094,2016-03-14
Joel Fagliano,,11059,2016-03-15
Joel Fagliano,,11096,2016-03-16
Joel Fagliano,,11097,2016-03-17
Joel Fagliano,,11098,2016-03-18
Joel Fagliano,,11102,2016-03-19
Joel Fagliano,,11101,2016-03-20
Joel Fagliano,,11103,2016-03-21
Joel Fagliano,,11111,2016-03-22
Joel Fagliano,,11112,2016-03-23
Joel Fagliano,,11121,2016-03-24
Joel Fagliano,,11122,2016-03-25
Joel Fagliano,,11120,2016-03-26
Joel Fagliano,,11123,2016-03-27
Joel Fagliano,,11124,2016-03-28
Joel Fagliano,,11125,2016-03-29
Joel Fagliano,,11128,2016-03-30
Joel Fagliano,,11129,2016-03-31
Joel Fagliano,,11189,2016-04-01
Joel Fagliano,,11190,2016-04-02
Joel Fagliano,,11237,2016-04-03
Joel Fagliano,,11239,2016-04-04
Joel Fagliano,,11238,2016-04-05
Joel Fagliano,,11247,2016-04-06
Joel Fagliano,,11248,2016-04-07
Joel Fagliano,,11252,2016-04-08
Joel Fagliano,,11250,2016-04-09
Joel Fagliano,,11251,2016-04-10
Joel Fagliano,,11254,2016-04-11
Joel Fagliano,,11255,2016-04-12
Joel Fagliano,,11253,2016-04-13
Joel Fagliano,,11301,2016-04-14
Joel Fagliano,,11305,2016-04-15
Joel Fagliano,,11314,2016-04-16
Joel Fagliano,,11316,2016-04-17
Joel Fagliano,,11315,2016-04-18
Joel Fagliano,,11337,2016-04-19
Joel Fagliano,,11338,2016-04-20
Joel Fagliano,,11339,2016-04-21
Joel Fagliano,,11347,2016-04-22
Joel Fagliano,,11346,2016-04-23
Joel Fagliano,,11348,2016-04-24
Joel Fagliano,,11358,2016-04-25
Joel Fagliano,,11359,2016-04-26
Joel Fagliano,,11360,2016-04-27
Joel Fagliano,,11361,2016-04-28
Joel Fagliano,,11362,2016-04-29
Joel Fagliano,,11363,2016-04-30
Joel Fagliano,,11364,2016-05-01
Joel Fagliano,,11365,2016-05-02
Joel Fagliano,,11406,2016-05-03
Joel Fagliano,,11407,2016-05-04
Joel Fagliano,,11409,2016-05-05
Joel Fagliano,,11410,2016-05-06
Joel Fagliano,,11411,2016-05-07
Joel Fagliano,,11412,2016-05-08
Joel Fagliano,,11423,2016-05-09
Joel Fagliano,,11424,2016-05-10
Joel Fagliano,,11425,2016-05-11
Joel Fagliano,,11426,2016-05-12
Joel Fagliano,,11488,2016-05-13
Joel Fagliano,,11490,2016-05-14
Joel Fagliano,,11489,2016-05-15
Joel Fagliano,,11507,2016-05-16
Joel Fagliano,,11508,2016-05-17
Joel Fagliano,,11509,2016-05-18
Joel Fagliano,,11511,2016-05-19
Joel Fagliano,,11514,2016-05-20
Joel Fagliano,,11525,2016-05-21
Joel Fagliano,,11526,2016-05-22
Joel Fagliano,,11535,2016-05-23
Joel Fagliano,,11534,2016-05-24
Joel Fagliano,,11536,2016-05-25
Joel Fagliano,,11567,2016-05-26
Joel Fagliano,,11568,2016-05-27
Joel Fagliano,,11569,2016-05-28
Joel Fagliano,,11573,2016-05-29
Joel Fagliano,,11589,2016-05-30
Joel Fagliano,,11590,2016-05-31
Joel Fagliano,,11599,2016-06-01
Joel Fagliano,,11600,2016-06-02
Joel Fagliano,,11602,2016-06-03
Joel Fagliano,,11603,2016-06-04
Joel Fagliano,,11615,2016-06-05
Joel Fagliano,,11619,2016-06-06
Joel Fagliano,,11650,2016-06-07
Joel Fagliano,,11651,2016-06-08
Joel Fagliano,,11652,2016-06-09
Joel Fagliano,,11653,2016-06-10
Joel Fagliano,,11654,2016-06-11
Joel Fagliano,,11655,2016-06-12
Joel Fagliano,,11656,2016-06-13
Joel Fagliano,,11660,2016-06-14
Joel Fagliano,,11668,2016-06-15
Joel Fagliano,,11686,2016-06-16
Joel Fagliano,,11687,2016-06-17
Joel Fagliano,,11692,2016-06-18
Joel Fagliano,,11693,2016-06-19
Joel Fagliano,,11694,2016-06-20
Joel Fagliano,,11703,2016-06-21
Joel Fagliano,,11704,2016-06-22
Joel Fagliano,,11720,2016-06-23
Joel Fagliano,,11732,2016-06-24
Joel Fagliano,,11733,2016-06-25
Joel Fagliano,,11734,2016-06-26
Joel Fagliano,,11736,2016-06-27
Joel Fagliano,,11735,2016-06-28
Joel Fagliano,,11742,2016-06-29
Joel Fagliano,,11743,2016-06-30
Joel Fagliano,,11739,2016-07-01
Joel Fagliano,,11738,2016-07-02
Joel Fagliano,,11741,2016-07-03
Joel Fagliano,,11740,2016-07-04
Joel Fagliano,,11737,2016-07-05
Joel Fagliano,,11746,2016-07-06
Joel Fagliano,,11749,2016-07-07
Joel Fagliano,,11747,2016-07-08
Joel Fagliano,,11806,2016-07-09
Joel Fagliano,,11804,2016-07-10
Joel Fagliano,,11805,2016-07-11
Joel Fagliano,,11809,2016-07-12
Joel Fagliano,,11824,2016-07-13
Joel Fagliano,,11841,2016-07-14
Joel Fagliano,,11851,2016-07-15
Joel Fagliano,,11854,2016-07-16
Joel Fagliano,,11855,2016-07-17
Joel Fagliano,,11863,2016-07-18
